1	Marcus	Latin	male	given name
2	Pavo		gender-neutral	family name
4	Franciscus	Latin	male	given name
5	Joseph	Semitic (Hebrew)	male	given name
6	Johannes	Semitic (Hebrew)	male	given name
7	Alexander	Greek	male	given name
8	Bolender		gender-neutral	family name
11	Johanna	Semitic (Hebrew)	female	given name
12	van Doornick		gender-neutral	family name
14	Jakob	Semitic (Hebrew)	male	given name
15	Fantoli	Latin	gender-neutral	family name
16	Karl	Germanic	male	given name
17	de Pauw		gender-neutral	family name
18	Jeremiah	Semitic (Hebrew)	male	given name
19	Georgios	Greek	male	given name
21	De Drijvere		gender-neutral	family name
25	Aaron	Semitic (Hebrew)	male	given name
26	Abacut	unknown	male	given name
27	Abandus	Romance	male	given name
28	Abbas	unknown	male	given name
29	Abel	Semitic (Hebrew)	male	given name
30	Abraham	Semitic (Hebrew)	male	given name
31	Absalom	Semitic (Hebrew)	male	given name
32	Acamus	Greek?	male	given name
33	Ekkehard	Germanic	male	given name
34	Accandus	unknown	male	given name
35	Achilleus	Greek	male	given name
36	Acrianus	unknown	male	given name
38	Adam	Semitic (Hebrew)	male	given name
39	Adanotus	unknown	male	given name
40	Adalhard	Germanic	male	given name
41	Adalbert	Germanic	male	given name
42	Adelinus	Germanic	male	given name
43	Adalhelm	Germanic	male	given name
45	Adolf	Germanic	male	given name
46	Adomarus	Germanic	male	given name
47	Adonius	Semitic?	male	given name
48	Adriana	Latin	female	given name
49	Hadrianus	Latin	male	given name
50	Aef	unknown	male	given name
51	Aegius	Greek?	male	given name
53	Aemilianus	Latin	male	given name
54	Aemilinus	Latin	male	given name
55	Aemilius	Latin	male	given name
56	Aineias	Greek	male	given name
57	Aenerus	unknown	male	given name
58	Aengerranus	unknown	male	given name
59	Aenko	Germanic	male	given name
60	Aetus	unknown	male	given name
61	Afrianus	Latin?	male	given name
62	Africanus	Latin	male	given name
63	Agapetos	Greek	male	given name
64	Agatha	Greek	female	given name
65	Agathon	Greek	male	given name
66	Agatius	Latin or Greek	male	given name
67	Aggeus	Germanic?	male	given name
68	Agnes	Greek	female	given name
69	Agneux	unknown	male	given name
70	Ahnerimont		gender-neutral	family name
71	Haimbert	Germanic	male	given name
72	Aijta	unknown	male	given name
73	Ailco	Germanic	male	given name
74	Aland	Germanic	male	given name
75	Alan	Celtic	male	given name
76	Alard	Germanic	male	given name
77	Walaric	Germanic	male	given name
78	Albanus	Latin	male	given name
79	Alberich	Germanic	male	given name
80	Albertinus	Germanic and Latin	male	given name
81	Albert	Germanic	male	given name
82	Albinus	Latin	male	given name
84	Albe		gender-neutral	family name
85	Aldward	Germanic	male	given name
87	Aleomus	unknown	male	given name
89	Aleranus	Germanic?	male	given name
90	Alesto	unknown	male	given name
92	Alexios	Greek	male	given name
93	Aleydis	Germanic	female	given name
94	Aligerinus	unknown	male	given name
95	Alleau	unknown	male	given name
96	Allerinus	unknown	male	given name
97	Aloysius	Germanic	male	given name
98	Alfhard	Germanic	male	given name
99	Alphons	Germanic	male	given name
100	Alsasse	Germanic?	male	given name
101	Alstenus	Germanic?	male	given name
102	Altetus	Germanic	male	given name
103	Altherus	Germanic?	male	given name
104	Alvin	Germanic	male	given name
105	Amabilis	Latin	male	given name
106	Amadeus	Latin	male	given name
107	Amandus	Latin	male	given name
108	Amans	Latin	male	given name
109	Amatus	Latin	male	given name
110	Ambrosios	Greek	male	given name
111	Amelgardus	Germanic	male	given name
112	Amelicus	unknown	male	given name
113	Amelus	unknown	male	given name
114	Amicus	Latin	male	given name
116	Ammanus	Semitic (Hebrew)?	male	given name
118	Amontius	unknown	male	given name
119	Amor	Latin	male	given name
120	Amosius	Semitic (Hebrew)?	male	given name
121	Amyntas	Greek	male	given name
122	Anatolia	Greek	female	given name
123	Anatolios	Greek	male	given name
124	Ancelin	Romance	male	given name
125	Andomarus	Germanic?	male	given name
126	Andreas	Greek	male	given name
127	Angarinus	unknown	male	given name
128	Angelinus	Latin	male	given name
129	Angelotus	Latin	male	given name
130	Angelos	Greek	male	given name
131	Angerus	Germanic?	male	given name
132	Anna	Semitic (Hebrew)	female	given name
133	Annardus	Germanic?	male	given name
134	Anneredus	unknown	male	given name
135	Annerus	Semitic (Hebrew)?	male	given name
136	Annianus	Latin	male	given name
137	Annotus	unknown	male	given name
138	Ansbert	Germanic	male	given name
139	Anselm	Germanic	male	given name
140	Antinoos	Greek	male	given name
141	Antonia	Latin	female	given name
143	Antonius	Latin	male	given name
145	Aperus	unknown	male	given name
146	Apico	unknown	male	given name
147	Apollinaris	Greek	male	given name
148	Apollonios	Greek	male	given name
150	Aprobus	unknown	male	given name
151	Aquilia	Latin	male	given name
152	Arbaldus	Germanic?	male	given name
153	Arcadius	Latin	male	given name
154	Archangelos	Greek	male	given name
155	Archibald	Germanic	male	given name
156	Herluin	Germanic	male	given name
159	Arnesius	unknown	male	given name
160	Arnold	Germanic	male	given name
161	Arnolles	Germanic?	male	given name
162	Arnulf	Germanic	male	given name
163	Arozola		gender-neutral	family name
164	Harry	Germanic	male	given name
165	Arsenios	Greek	male	given name
166	Arslandus	unknown	male	given name
167	Arthur	Celtic or Latin	male	given name
168	Askanios	Greek	male	given name
169	Ascensius	Latin	male	given name
170	Assuerus	Semitic (Hebrew)?	male	given name
